locus	marker	chrom	pos
all_3.4241	m320	4	0.4241
all_3.4285	m321	4	0.4285
all_3.43	m322	4	0.43
all_3.4638	m323	4	0.4638
all_3.4693	m324	4	0.4693
all_3.4735	m325	4	0.4735
all_3.505	m326	4	0.505
all_3.5236	m327	4	0.5236
all_3.5284	m328	4	0.5284
all_3.5364	m329	4	0.5364
all_3.538	m330	4	0.538
all_3.5612	m331	4	0.5612
all_3.5904	m332	4	0.5904
all_3.593	m333	4	0.593
all_3.6292	m334	4	0.6292
all_3.655	m335	4	0.655
all_3.6796	m336	4	0.6796
all_3.7055	m337	4	0.7055
all_3.7168	m338	4	0.7168
all_3.7218	m339	4	0.7218
all_3.7344	m340	4	0.7344
all_3.7401	m341	4	0.7401
all_3.7433	m342	4	0.7433
all_3.7498	m343	4	0.7498
all_3.7783	m344	4	0.7783
all_3.7789	m345	4	0.7789
all_3.7866	m346	4	0.7866
all_3.7976	m347	4	0.7976
all_3.8192	m348	4	0.8192
all_3.8215	m349	4	0.8215
all_3.8218	m350	4	0.8218
all_3.8221	m351	4	0.8221
all_3.8327	m352	4	0.8327
all_3.8358	m353	4	0.8358
all_3.836	m354	4	0.836
all_3.8419	m355	4	0.8419
all_3.8494	m356	4	0.8494
all_3.8507	m357	4	0.8507
all_3.8517	m358	4	0.8517
all_3.8683	m359	4	0.8683
all_3.8701	m360	4	0.8701
all_3.8722	m361	4	0.8722
all_3.8879	m362	4	0.8879
all_3.8955	m363	4	0.8955
all_3.9307	m364	4	0.9307
all_3.9355	m365	4	0.9355
all_3.9438	m366	4	0.9438
all_3.9476	m367	4	0.9476
all_3.9582	m368	4	0.9582
all_3.9614	m369	4	0.9614
all_3.9744	m370	4	0.9744
all_3.9888	m371	4	0.9888
all_4.0113	m372	5	0.0113
all_4.0117	m373	5	0.0117
all_4.0345	m374	5	0.0345
all_4.0422	m375	5	0.0422
all_4.0491	m376	5	0.0491
all_4.0557	m377	5	0.0557
all_4.0574	m378	5	0.0574
all_4.0869	m379	5	0.0869
all_4.0875	m380	5	0.0875
all_4.0962	m381	5	0.0962
all_4.1124	m382	5	0.1124
all_4.1332	m383	5	0.1332
all_4.1597	m384	5	0.1597
all_4.1985	m385	5	0.1985
all_4.2505	m386	5	0.2505
all_4.2895	m387	5	0.2895
all_4.2975	m388	5	0.2975
all_4.3212	m389	5	0.3212
all_4.3392	m390	5	0.3392
all_4.3521	m391	5	0.3521
all_4.3613	m392	5	0.3613
all_4.3686	m393	5	0.3686
all_4.3759	m394	5	0.3759
all_4.388	m395	5	0.388
all_4.3915	m396	5	0.3915
all_4.4004	m397	5	0.4004
all_4.4022	m398	5	0.4022
all_4.4072	m399	5	0.4072
all_4.4118	m400	5	0.4118
all_4.4169	m401	5	0.4169
all_4.4238	m402	5	0.4238
all_4.4482	m403	5	0.4482
all_4.4529	m404	5	0.4529
all_4.4747	m405	5	0.4747
all_4.4959	m406	5	0.4959
all_4.5329	m407	5	0.5329
all_4.5353	m408	5	0.5353
all_4.5723	m409	5	0.5723
all_4.5775	m410	5	0.5775
all_4.5864	m411	5	0.5864
all_4.6012	m412	5	0.6012
all_4.6082	m413	5	0.6082
all_4.6288	m414	5	0.6288
all_4.6311	m415	5	0.6311
all_4.6314	m416	5	0.6314
all_4.6345	m417	5	0.6345
all_4.6405	m418	5	0.6405
all_4.6505	m419	5	0.6505
all_4.654	m420	5	0.654
all_4.6635	m421	5	0.6635
all_4.669	m422	5	0.669
all_4.6778	m423	5	0.6778
all_4.7056	m424	5	0.7056
all_4.7152	m425	5	0.7152
all_4.7242	m426	5	0.7242
all_4.7248	m427	5	0.7248
all_4.7366	m428	5	0.7366
all_4.7399	m429	5	0.7399
all_4.7424	m430	5	0.7424
all_4.7627	m431	5	0.7627
all_4.7672	m432	5	0.7672
all_4.8103	m433	5	0.8103
all_4.8288	m434	5	0.8288
all_4.8514	m435	5	0.8514
all_4.8534	m436	5	0.8534
all_4.8552	m437	5	0.8552
all_4.8579	m438	5	0.8579
all_4.8695	m439	5	0.8695
all_4.8697	m440	5	0.8697
all_4.8882	m441	5	0.8882
all_4.8991	m442	5	0.8991
all_4.8995	m443	5	0.8995
all_4.9026	m444	5	0.9026
all_4.9066	m445	5	0.9066
all_4.9147	m446	5	0.9147
all_4.9286	m447	5	0.9286
all_4.9337	m448	5	0.9337
all_4.9359	m449	5	0.9359
all_4.9454	m450	5	0.9454
all_4.9479	m451	5	0.9479
all_4.9494	m452	5	0.9494
all_4.9937	m453	5	0.9937
